FineTuningJobEvent(id='ftevent-X2ynSWCfGBm6XXjolExn79Rw', created_at=1738234459, level='info', message='Step 131/150: training loss=0.08', object='fine_tuning.job.event', data={'step': 131, 'train_loss': 0.07832442224025726, 'total_steps': 150, 'train_mean_token_accuracy': 0.9920634627342224}, type='metrics')

FineTuningJobEvent(id='ftevent-nnm7PE3f3opUoTfbA6SPtUQM', created_at=1738234457, level='info', message='Step 130/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 130, 'train_loss': 0.00035816431045532227, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-22w1074m8mAgWcxpU6GMmPgM', created_at=1738234452, level='info', message='Step 129/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 129, 'train_loss': 0.0012498795986175537, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-MDl2yEZaqIIXFklZAG1nsTxZ', created_at=1738234452, level='info', message='Step 128/150: training loss=0.10', object='fine_tuning.job.event', data={'step': 128, 'train_loss': 0.09732812643051147, 'total_steps': 150, 'train_mean_token_accuracy': 0.9679487347602844}, type='metrics')

FineTuningJobEvent(id='ftevent-M29Ft6NsBvBamAPDO66qsSST', created_at=1738234452, level='info', message='Step 127/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 127, 'train_loss': 0.03344058245420456, 'total_steps': 150, 'train_mean_token_accuracy': 0.9809523820877075}, type='metrics')

FineTuningJobEvent(id='ftevent-0W6QOBRZSR9FuYHkFRHYnl43', created_at=1738234452, level='info', message='Step 126/150: training loss=0.02', object='fine_tuning.job.event', data={'step': 126, 'train_loss': 0.022773491218686104, 'total_steps': 150, 'train_mean_token_accuracy': 0.9912280440330505}, type='metrics')

FineTuningJobEvent(id='ftevent-5CNeKEbZXVBnjfkpQmc0mTfH', created_at=1738234447, level='info', message='Step 125/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 125, 'train_loss': 8.168351632775739e-05, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-rOAHPD1dl8Y1sfw0CUL7knca', created_at=1738234447, level='info', message='Step 124/150: training loss=0.09', object='fine_tuning.job.event', data={'step': 124, 'train_loss': 0.09399331361055374, 'total_steps': 150, 'train_mean_token_accuracy': 0.9790209531784058}, type='metrics')

FineTuningJobEvent(id='ftevent-7q0DRj4RLdaXGrtJIVcXaYoV', created_at=1738234447, level='info', message='Step 123/150: training loss=0.17', object='fine_tuning.job.event', data={'step': 123, 'train_loss': 0.17390654981136322, 'total_steps': 150, 'train_mean_token_accuracy': 0.9724770784378052}, type='metrics')

FineTuningJobEvent(id='ftevent-NGM9fuPYtj0xDLOtpoXT3AaP', created_at=1738234447, level='info', message='Step 122/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 122, 'train_loss': 0.00018648307013791054, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-MwhR70nR83lUpHxLrqQmBPmc', created_at=1738234446, level='info', message='Step 121/150: training loss=0.15', object='fine_tuning.job.event', data={'step': 121, 'train_loss': 0.15415406227111816, 'total_steps': 150, 'train_mean_token_accuracy': 0.9604519605636597}, type='metrics')

FineTuningJobEvent(id='ftevent-FMajrwBWhrN6ggfjxeIgSGJv', created_at=1738234439, level='info', message='Step 120/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 120, 'train_loss': 0.000157032540300861, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-QTPwLw1DsfLrnyioJz7YxWzC', created_at=1738234439, level='info', message='Step 119/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 119, 'train_loss': 8.781751239439473e-05, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-7i09fqp8xteqj20kMeqj8Jbr', created_at=1738234439, level='info', message='Step 118/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 118, 'train_loss': 0.0002673962735570967, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-j9fV2339Ig8cAF1C3stIPlgo', created_at=1738234439, level='info', message='Step 117/150: training loss=0.02', object='fine_tuning.job.event', data={'step': 117, 'train_loss': 0.018394865095615387, 'total_steps': 150, 'train_mean_token_accuracy': 0.9925925731658936}, type='metrics')

FineTuningJobEvent(id='ftevent-NROUmQZkYgXnrlYpxppDhkBO', created_at=1738234434, level='info', message='Step 116/150: training loss=0.09', object='fine_tuning.job.event', data={'step': 116, 'train_loss': 0.08656959980726242, 'total_steps': 150, 'train_mean_token_accuracy': 0.9754098653793335}, type='metrics')

FineTuningJobEvent(id='ftevent-cEHI3lOmXcgT8XwcpTE6uxDT', created_at=1738234434, level='info', message='Step 115/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 115, 'train_loss': 0.0041141510009765625, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-gOp6M7BGrp6hcs2n1HhOliSu', created_at=1738234434, level='info', message='Step 114/150: training loss=0.16', object='fine_tuning.job.event', data={'step': 114, 'train_loss': 0.15516044199466705, 'total_steps': 150, 'train_mean_token_accuracy': 0.9777777791023254}, type='metrics') 

FineTuningJobEvent(id='ftevent-RdUvc46GVEbPa8svZyeqe0Id', created_at=1738234434, level='info', message='Step 113/150: training loss=0.08', object='fine_tuning.job.event', data={'step': 113, 'train_loss': 0.0755445808172226, 'total_steps': 150, 'train_mean_token_accuracy': 0.9834710955619812}, type='metrics')

FineTuningJobEvent(id='ftevent-eO3XMNLWlt8FkfFLl8Nw5RF6', created_at=1738234433, level='info', message='Step 112/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 112, 'train_loss': 0.028926849365234375, 'total_steps': 150, 'train_mean_token_accuracy': 0.9921259880065918}, type='metrics')

FineTuningJobEvent(id='ftevent-hSGUvkBARZmq5oY5CHwtXMy3', created_at=1738234427, level='info', message='Step 111/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 111, 'train_loss': 0.0032496913336217403, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-jv7SarzeRKLKROD2gG0SdU1B', created_at=1738234426, level='info', message='Step 110/150: training loss=0.07', object='fine_tuning.job.event', data={'step': 110, 'train_loss': 0.06895023584365845, 'total_steps': 150, 'train_mean_token_accuracy': 0.9727272987365723}, type='metrics')

FineTuningJobEvent(id='ftevent-gN03yeiBUA2u5nFuAvcSiWYY', created_at=1738234426, level='info', message='Step 109/150: training loss=0.10', object='fine_tuning.job.event', data={'step': 109, 'train_loss': 0.1029968410730362, 'total_steps': 150, 'train_mean_token_accuracy': 0.9529411792755127}, type='metrics')

FineTuningJobEvent(id='ftevent-ijgXaz5yqrFcXRFu5vxI4YXU', created_at=1738234426, level='info', message='Step 108/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 108, 'train_loss': 0.014924362301826477, 'total_steps': 150, 'train_mean_token_accuracy': 0.9915966391563416}, type='metrics')

FineTuningJobEvent(id='ftevent-PnPmpPOyvBnejDfpds8O39zp', created_at=1738234421, level='info', message='Step 107/150: training loss=0.07', object='fine_tuning.job.event', data={'step': 107, 'train_loss': 0.0703033059835434, 'total_steps': 150, 'train_mean_token_accuracy': 0.984375}, type='metrics')

FineTuningJobEvent(id='ftevent-F5t5n57GkHFWam7sDMyd8dRu', created_at=1738234421, level='info', message='Step 106/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 106, 'train_loss': 0.0008213967084884644, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-ihdjRyGsXzABIrdwxnheJyjZ', created_at=1738234421, level='info', message='Step 105/150: training loss=0.18', object='fine_tuning.job.event', data={'step': 105, 'train_loss': 0.176290363073349, 'total_steps': 150, 'train_mean_token_accuracy': 0.9599999785423279}, type='metrics')

FineTuningJobEvent(id='ftevent-54v4Q8wow0BPm4qylyvI3ywU', created_at=1738234421, level='info', message='Step 104/150: training loss=0.05', object='fine_tuning.job.event', data={'step': 104, 'train_loss': 0.05166272073984146, 'total_steps': 150, 'train_mean_token_accuracy': 0.9848484992980957}, type='metrics')

FineTuningJobEvent(id='ftevent-vFwna93nWsylrGajAhwuT2qe', created_at=1738234421, level='info', message='Step 103/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 103, 'train_loss': 0.002887935610488057, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-In4WA1oeXgBt2spA68KatZSn', created_at=1738234419, level='info', message='Step 102/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 102, 'train_loss': 0.014269121922552586, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-HKPHGfhsNoEhV6QCu1LrD79k', created_at=1738234412, level='info', message='Step 101/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 101, 'train_loss': 0.03025537170469761, 'total_steps': 150, 'train_mean_token_accuracy': 0.9760000109672546}, type='metrics')

FineTuningJobEvent(id='ftevent-98cYp2jFEPZLc4HeppDTFtlS', created_at=1738234395, level='info', message='Step 100/150: training loss=0.14', object='fine_tuning.job.event', data={'step': 100, 'train_loss': 0.14148564636707306, 'total_steps': 150, 'train_mean_token_accuracy': 0.9580419659614563}, type='metrics')

FineTuningJobEvent(id='ftevent-2QFEaTbKCtMn9qjfRJECFaZt', created_at=1738234395, level='info', message='Step 99/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 99, 'train_loss': 0.0022123237140476704, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-8zzySCAlEIrYb9OIkjQuBjkd', created_at=1738234395, level='info', message='Step 98/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 98, 'train_loss': 0.0016570091247558594, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-FnTZvL2u89W1fStR6wD36INs', created_at=1738234395, level='info', message='Step 97/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 97, 'train_loss': 0.008147964254021645, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-3DYMa7R02c05Jwx3It2gZEPX', created_at=1738234390, level='info', message='Step 96/150: training loss=0.13', object='fine_tuning.job.event', data={'step': 96, 'train_loss': 0.12644663453102112, 'total_steps': 150, 'train_mean_token_accuracy': 0.961240291595459}, type='metrics')

FineTuningJobEvent(id='ftevent-hkWAsgxpbXEKz1052gcbDbFc', created_at=1738234390, level='info', message='Step 95/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 95, 'train_loss': 0.011935396119952202, 'total_steps': 150, 'train_mean_token_accuracy': 0.9893617033958435}, type='metrics')

FineTuningJobEvent(id='ftevent-KN9aO5Yjp79PLJWCwSmaJ7Ed', created_at=1738234390, level='info', message='Step 94/150: training loss=0.13', object='fine_tuning.job.event', data={'step': 94, 'train_loss': 0.1337091624736786, 'total_steps': 150, 'train_mean_token_accuracy': 0.9487179517745972}, type='metrics') 

FineTuningJobEvent(id='ftevent-sGHOc2teQWPGOMXjyNRrzstj', created_at=1738234390, level='info', message='Step 93/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 93, 'train_loss': 0.011729255318641663, 'total_steps': 150, 'train_mean_token_accuracy': 0.9921875}, type='metrics')

FineTuningJobEvent(id='ftevent-hlpW54aYjTraXifalnJ2dCsV', created_at=1738234389, level='info', message='Step 92/150: training loss=0.06', object='fine_tuning.job.event', data={'step': 92, 'train_loss': 0.05653073266148567, 'total_steps': 150, 'train_mean_token_accuracy': 0.9851852059364319}, type='metrics')

FineTuningJobEvent(id='ftevent-WeT1ixvCXpbGXRufJnknRlzJ', created_at=1738234384, level='info', message='Step 91/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 91, 'train_loss': 0.0009228388662450016, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-xJ3gtK4hVKUlYPFNp4U1i6iM', created_at=1738234383, level='info', message='Step 90/150: training loss=0.21', object='fine_tuning.job.event', data={'step': 90, 'train_loss': 0.21186871826648712, 'total_steps': 150, 'train_mean_token_accuracy': 0.924369752407074}, type='metrics')

FineTuningJobEvent(id='ftevent-1dbTVO4TFpStQvjKQsZLXCWC', created_at=1738234383, level='info', message='Step 89/150: training loss=0.05', object='fine_tuning.job.event', data={'step': 89, 'train_loss': 0.04897814989089966, 'total_steps': 150, 'train_mean_token_accuracy': 0.9904761910438538}, type='metrics')

FineTuningJobEvent(id='ftevent-EZ0jsHhAQZyhKui9ldha7hEK', created_at=1738234382, level='info', message='Step 88/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 88, 'train_loss': 0.0014490600442513824, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-aVw5wjycA1kzMzFyHBxH6mQn', created_at=1738234375, level='info', message='Step 87/150: training loss=0.12', object='fine_tuning.job.event', data={'step': 87, 'train_loss': 0.124824158847332, 'total_steps': 150, 'train_mean_token_accuracy': 0.9669421315193176}, type='metrics')

