FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-D4rjNMPoJw9XjtERKfd5n80a', created_at=1738494069, level='info', message='Step 282/300: training loss=0.05', object='fine_tuning.job.event', data={'step': 282, 'train_loss': 0.053656671196222305, 'total_steps': 300, 'train_mean_token_accuracy': 0.989130437374115}, type='metrics')

FineTuningJobEvent(id='ftevent-tQWIMMqWAo7wF6PsAqUqRgdo', created_at=1738494067, level='info', message='Step 281/300: training loss=0.18', object='fine_tuning.job.event', data={'step': 281, 'train_loss': 0.18494592607021332, 'total_steps': 300, 'train_mean_token_accuracy': 0.9693251252174377}, type='metrics')

FineTuningJobEvent(id='ftevent-BkqjW1UbCGSrjGQhl2yPBRkK', created_at=1738494067, level='info', message='Step 280/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 280, 'train_loss': 0.0006670634029433131, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-B32giSEk59D1GTdaxNCiVGMY', created_at=1738494065, level='info', message='Step 279/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 279, 'train_loss': 2.424240119580645e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-PzWwUQY17lqysERKW5KHWgWi', created_at=1738494063, level='info', message='Step 278/300: training loss=0.19', object='fine_tuning.job.event', data={'step': 278, 'train_loss': 0.19208626449108124, 'total_steps': 300, 'train_mean_token_accuracy': 0.9701492786407471}, type='metrics')

FineTuningJobEvent(id='ftevent-R7Fbas1BsZRoIMn2qGI6U7pg', created_at=1738494061, level='info', message='Step 277/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 277, 'train_loss': 0.0004723190504591912, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-lkzRxbgZga9TFF5FOsG6Mzsh', created_at=1738494061, level='info', message='Step 276/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 276, 'train_loss': 0.0017487620934844017, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-2pVa6bSYDWG4kRXPpEhMeyHB', created_at=1738494059, level='info', message='Step 275/300: training loss=0.09', object='fine_tuning.job.event', data={'step': 275, 'train_loss': 0.08677059412002563, 'total_steps': 300, 'train_mean_token_accuracy': 0.9788732528686523}, type='metrics')

FineTuningJobEvent(id='ftevent-hEcPE7DQXLNiW8CAJ9JWfWg0', created_at=1738494057, level='info', message='Step 274/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 274, 'train_loss': 0.0002498976537026465, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

